,Player,Year,InjuryFactor,RushEfficiency,RecEfficiency,TotTD,PPR,NextPPR
24,AJ Dillon,2020,15.125,5.260869565217392,21.0,2,40.3,185.6
25,AJ Dillon,2021,23.0,4.294117647058823,287.6216216216216,7,185.6,167.6
26,AJ Dillon,2022,24.0,4.139784946236559,134.13953488372093,7,167.6,117.6
27,AJ Dillon,2023,22.058823529411764,3.443820224719101,175.21428571428572,2,117.6,
30,Aaron Jones,2017,17.25,5.530864197530864,11.0,4,80.0,171.4
31,Aaron Jones,2018,18.0,5.473684210526316,153.02857142857144,9,171.4,314.8
32,Aaron Jones,2019,25.0,4.593220338983051,341.55882352941177,19,314.8,258.9
33,Aaron Jones,2020,22.75,5.492537313432836,264.8412698412698,11,258.9,229.0
34,Aaron Jones,2021,23.823529411764707,4.6725146198830405,312.8,10,229.0,248.6
35,Aaron Jones,2022,28.0,5.262910798122066,323.68055555555554,7,248.6,134.9
36,Aaron Jones,2023,18.764705882352942,4.619718309859155,162.5581395348837,3,134.9,
37,Aaron Ripkowski,2015,21.5625,0.0,18.0,0,2.8,46.6
38,Aaron Ripkowski,2016,24.0,4.411764705882353,41.4,3,46.6,12.2
78,Adrian Peterson,2013,24.5,4.537634408602151,123.975,11,232.7,11.3
79,Adrian Peterson,2014,1.8125,3.5714285714285716,12.0,0,11.3,260.7
80,Adrian Peterson,2015,30.0,4.541284403669724,185.0,11,260.7,9.0
81,Adrian Peterson,2016,5.8125,1.945945945945946,4.0,0,9.0,78.9
82,Adrian Peterson,2017,20.0,3.391025641025641,40.526315789473685,2,78.9,189.0
83,Adrian Peterson,2018,33.0,4.151394422310757,160.0,8,189.0,147.0
84,Adrian Peterson,2019,31.875,4.2559241706161135,104.95652173913044,5,147.0,124.5
85,Adrian Peterson,2020,35.0,3.871794871794872,67.33333333333333,7,124.5,26.6
86,Ahmad Bradshaw,2013,5.0625,4.536585365853658,36.75,2,41.8,154.5
87,Ahmad Bradshaw,2014,17.5,4.722222222222222,242.5531914893617,8,154.5,42.9
89,Akeem Hunt,2015,9.625,5.647058823529412,23.4,0,19.5,16.8
90,Akeem Hunt,2016,11.5,5.45,21.75,0,16.8,9.4
119,Alex Armah,2022,3.2941176470588234,0.0,0.0,0,0.0,4.3
120,Alex Armah,2023,13.647058823529411,0.0,13.0,0,4.3,
122,Alex Collins,2016,15.125,4.032258064516129,84.0,1,35.9,171.0
123,Alex Collins,2017,21.5625,4.589622641509434,119.47222222222223,6,171.0,108.6
124,Alex Collins,2018,15.0,3.6052631578947367,75.0,8,108.6,21.1
125,Alex Collins,2020,4.875,4.277777777777778,2.0,2,21.1,68.8
146,Alexander Mattison,2019,17.0625,4.62,68.33333333333333,1,68.4,86.9
147,Alexander Mattison,2020,17.875,4.520833333333333,108.33333333333333,3,86.9,125.9
148,Alexander Mattison,2021,21.647058823529413,3.6641791044776117,187.07692307692307,4,125.9,88.4
149,Alexander Mattison,2022,24.0,3.824324324324324,75.83333333333333,6,88.4,133.2
150,Alexander Mattison,2023,23.529411764705884,3.888888888888889,130.9090909090909,3,133.2,
151,Alfonso Smith,2013,26.0,3.0,52.30769230769231,1,26.2,6.0
152,Alfred Blue,2014,23.0,3.1242603550295858,94.16666666666667,3,97.1,111.7
153,Alfred Blue,2015,24.0,3.814207650273224,102.1875,3,111.7,62.0
154,Alfred Blue,2016,21.875,4.2,30.0,1,62.0,44.6
155,Alfred Blue,2017,17.875,3.6901408450704225,42.0,1,44.6,97.3
