,Player,Year,InjuryFactor,RushEfficiency,RecEfficiency,TotTD,PPR,NextPPR
5,A.J. Derby,2016,15.625,0.0,128.0,0,30.0,55.4
6,A.J. Derby,2017,17.875,0.0,128.1,2,55.4,13.8
63,Adam Shaheen,2020,26.0,0.0,81.81818181818181,3,45.0,23.0
74,Adam Trautman,2020,21.5625,0.0,160.3125,1,38.1,63.3
75,Adam Trautman,2021,18.352941176470587,0.0,165.13953488372093,2,63.3,44.7
76,Adam Trautman,2022,22.058823529411764,0.0,169.36363636363637,1,44.7,60.4
77,Adam Trautman,2023,26.0,0.0,128.22857142857143,3,60.4,
91,Alan Cross,2016,20.125,0.0,22.8,1,15.8,10.8
92,Alan Cross,2017,12.0,0.0,48.333333333333336,0,10.8,2.9
93,Albert Okwuegbunam,2020,5.5,0.0,88.73333333333333,1,29.1,76.0
94,Albert Okwuegbunam,2021,18.941176470588236,0.0,272.25,2,76.0,25.5
95,Albert Okwuegbunam,2022,11.294117647058824,0.0,52.77777777777778,1,25.5,0.0
96,Albert Okwuegbunam,2023,5.882352941176471,0.0,0.0,0,0.0,
126,Alex Ellis,2016,8.625,0.0,8.25,0,4.1,0.0
127,Alex Ellis,2018,3.125,0.0,0.0,0,0.0,0.0
137,Alex Smith,2013,31.0,0.0,6.0,1,10.2,220.0
139,Alex Smith,2014,4.0,0.0,0.0,0,0.0,271.2
141,Alex Smith,2015,6.1875,0.0,0.0,0,0.0,224.8
253,Andrew Beck,2019,23.0,3.0,67.5,1,24.5,0.0
254,Andrew Beck,2020,15.0,0.0,0.0,0,0.0,0.0
255,Andrew Beck,2021,17.647058823529413,0.0,0.0,0,0.0,11.9
256,Andrew Beck,2022,19.88235294117647,0.0,31.363636363636363,0,11.9,38.8
265,Andrew Ogletree,2023,17.647058823529413,0.0,63.0,2,35.7,
266,Andrew Quarless,2013,25.0,0.0,188.37735849056602,2,75.2,79.3
267,Andrew Quarless,2014,26.0,0.0,203.6304347826087,3,79.3,7.1
295,Anthony Fasano,2013,16.3125,0.0,139.3939393939394,3,61.0,71.6
296,Anthony Fasano,2014,28.125,0.0,156.94444444444446,4,71.6,66.9
297,Anthony Fasano,2015,31.0,0.0,178.9047619047619,2,66.9,28.3
298,Anthony Fasano,2016,32.0,0.0,51.07692307692308,2,28.3,28.7
303,Anthony Firkser,2022,17.470588235294116,0.0,69.23076923076923,0,19.0,0.0
304,Anthony Firkser,2023,3.2941176470588234,0.0,0.0,0,0.0,
338,Antonio Gates,2013,33.0,0.0,588.9824561403509,4,184.2,223.1
339,Antonio Gates,2014,34.0,0.0,578.0510204081633,12,223.1,149.0
340,Antonio Gates,2015,24.0625,0.0,415.05882352941177,5,149.0,147.8
341,Antonio Gates,2016,31.5,0.0,312.3010752688172,7,147.8,79.6
342,Antonio Gates,2017,37.0,0.0,182.30769230769232,3,79.6,75.3
348,Antony Auclair,2017,12.0,0.0,25.0,0,4.5,11.8
349,Antony Auclair,2018,25.0,0.0,42.0,0,11.8,2.1
350,Antony Auclair,2019,13.0,0.0,3.6666666666666665,0,2.1,0.0
