,Player,Year,InjuryFactor,RushEfficiency,RecEfficiency,TotTD,PPR,NextPPR
0,A.J. Brown,2019,22.0,20.0,650.6190476190476,9,217.1,247.5
1,A.J. Brown,2020,20.125,0.0,709.9056603773585,12,247.5,180.9
2,A.J. Brown,2021,18.352941176470587,5.0,521.4,5,180.9,299.6
3,A.J. Brown,2022,25.0,0.0,907.9172413793103,11,299.6,289.6
4,A.J. Brown,2023,26.0,0.0,976.8101265822785,7,289.6,
7,A.J. Green,2013,25.0,0.0,785.1011235955057,11,306.6,205.3
8,A.J. Green,2014,21.125,1.0,613.9230769230769,6,205.3,273.7
9,A.J. Green,2015,27.0,0.0,845.0151515151515,10,273.7,186.4
10,A.J. Green,2016,17.5,0.0,636.24,4,186.4,226.8
11,A.J. Green,2017,29.0,0.0,565.3846153846154,8,226.8,149.4
12,A.J. Green,2018,16.875,0.0,414.5974025974026,6,149.4,111.3
13,A.J. Green,2020,32.0,0.0,236.35576923076923,2,111.3,156.8
14,A.J. Green,2021,31.058823529411764,0.0,497.7391304347826,3,156.8,61.6
15,A.J. Jenkins,2013,24.0,3.0,61.1764705882353,0,21.6,18.1
23,A.T. Perry,2023,14.117647058823529,0.0,164.0,4,60.6,
28,Aaron Dobson,2013,16.5,0.0,266.7083333333333,4,112.9,6.8
29,Aaron Dobson,2014,5.75,0.0,22.8,0,6.8,27.1
50,Ace Sanders,2013,20.625,2.0,283.7241379310345,1,110.6,9.5
51,Adam Humphries,2015,17.875,0.0,175.5,1,59.0,133.0
52,Adam Humphries,2016,21.5625,3.6,412.1686746987952,2,133.0,128.7
53,Adam Humphries,2017,24.0,6.0,463.7469879518072,1,128.7,188.7
54,Adam Humphries,2018,25.0,5.5,590.6285714285714,5,188.7,86.5
55,Adam Humphries,2019,19.5,1.0,294.4255319148936,2,86.5,57.8
56,Adam Humphries,2020,11.8125,0.0,149.82857142857142,2,57.8,79.3
64,Adam Thielen,2014,24.0,0.0,84.3076923076923,1,27.7,35.3
65,Adam Thielen,2015,25.0,22.25,96.0,0,35.3,195.2
66,Adam Thielen,2016,26.0,7.5,725.25,5,195.2,239.7
67,Adam Thielen,2017,27.0,11.0,817.7183098591549,4,239.7,307.3
68,Adam Thielen,2018,28.0,6.0,1014.0457516339869,9,307.3,114.4
69,Adam Thielen,2019,18.125,1.5,261.25,7,114.4,254.0
70,Adam Thielen,2020,28.125,5.0,633.7962962962963,14,254.0,199.8
71,Adam Thielen,2021,23.705882352941178,2.0,512.021052631579,10,199.8,180.0
72,Adam Thielen,2022,32.0,4.0,468.41121495327104,6,180.0,231.0
73,Adam Thielen,2023,33.0,6.0,762.3503649635037,4,231.0,
97,Albert Wilson,2014,16.5,0.0,148.57142857142858,0,42.0,94.7
98,Albert Wilson,2015,20.125,5.2,276.9298245614035,2,94.7,81.9
99,Albert Wilson,2016,24.0,25.0,169.58823529411765,3,81.9,116.0
100,Albert Wilson,2017,20.3125,2.0,375.2903225806452,3,116.0,96.8
101,Albert Wilson,2018,11.375,2.0,290.45714285714286,4,96.8,89.4
102,Albert Wilson,2019,21.9375,9.0,243.43548387096774,1,89.4,48.0
103,Aldrick Robinson,2013,25.0,-1.3333333333333333,142.82608695652175,2,66.1,1.6
104,Aldrick Robinson,2014,8.125,0.0,0.0,0,1.6,64.3
105,Aldrick Robinson,2016,28.0,0.0,201.875,2,64.3,57.0
106,Aldrick Robinson,2017,29.0,0.0,102.91666666666667,2,57.0,70.1
112,Alec Pierce,2022,20.705882352941178,0.0,311.70512820512823,2,112.3,95.4
113,Alec Pierce,2023,23.0,0.0,253.04615384615386,2,95.4,
121,Alex Bachman,2020,1.5,0.0,0.0,0,0.0,-0.3
128,Alex Erickson,2016,24.0,0.0,53.25,0,13.1,35.6
129,Alex Erickson,2017,25.0,3.2,135.0,1,35.6,36.9
130,Alex Erickson,2018,26.0,7.333333333333333,115.17241379310344,0,36.9,96.2
131,Alex Erickson,2019,27.0,6.6,291.62820512820514,0,96.2,22.6
132,Alex Erickson,2020,28.0,1.4,98.11764705882354,0,22.6,8.5
133,Alex Erickson,2021,29.0,0.0,41.25,0,8.5,0.0
